School District,School Name,School Address,City Town,Zip,Type of school,Total Enrolled,Total HBV,% HBV,Total Polio,% Polio,Total MMR,% MMR,Total HBV2,% HBV2,Total VZV,% Varicella,Total 7-12 Enrolled,Total Tdap,% TDaP,Total MCV*,% MCV*
AIU Exceptional ,Mon Valley School,"555 N Lewis Run Road
Mon Valley School",Pittsburgh,15025,Public,117,113,96.6%,112,95.7%,110,94.0%,113,96.6%,112,95.7%,75,69,92.0%,68,90.7%
AIU Exceptional ,Pathfinder School,50 Donati Road,Bethel Park,15102,Public,48,45,93.8%,54,112.5%,43,89.6%,45,93.8%,42,87.5%,35,32,91.4%,31,88.6%
AIU Exceptional ,Sunrise School,550 Aura Drive,Monroeville,15146,Public,107,107,100.0%,103,96.3%,103,96.3%,107,100.0%,103,96.3%,61,59,96.7%,60,98.4%
Allegheny Valley ,Acmetonia Primary School,300 Pearl Avenue,Cheswick,15024,Public,474,463,97.7%,460,97.0%,461,97.3%,464,97.9%,461,97.3%,0,0,,0,
Allegheny Valley ,Cheswick Christian Academy,1407 Pittsburgh Street,Cheswick,15024,Parochial/Religious,138,119,86.2%,119,86.2%,119,86.2%,119,86.2%,119,86.2%,66,57,86.4%,55,83.3%
Allegheny Valley ,Springdale Jr/Sr High School,501 Butler Road,Springdale,15144,Public,390,388,99.5%,388,99.5%,387,99.2%,388,99.5%,387,99.2%,390,388,99.5%,386,99.0%
Archangel Gabriel Catholic School,Archangel Gabriel,"5718 Steubenville Pike
",McKees Rocks,15136,Parochial/Religious,302,301,99.7%,298,98.7%,298,98.7%,296,98.0%,297,98.3%,71,67,94.4%,66,93.0%
Ava Marie Academy,Ave Maria Academy - Mt. Lebanon Campus,401 Washington Road,Pittsburgh,15216,Parochial/Religious,216,203,94.0%,203,94.0%,203,94.0%,203,94.0%,203,94.0%,31,29,93.5%,29,93.5%
Avalon Elementary,Northgate ,721 California Ave,Pittsburgh,15202,Public,247,243,98.4%,241,97.6%,242,98.0%,242,98.0%,241,97.6%,0,0,,0,
Avonworth ,Avonworth Elementary School,1320 Roosevelt Road,Pittsburgh,15237,Public,606,598,98.7%,595,98.2%,596,98.3%,592,97.7%,594,98.0%,0,0,,0,
Avonworth ,Avonworth High School,314 Josephs Lane,Pittsburgh,15237,Public,396,385,97.2%,381,96.2%,384,97.0%,383,96.7%,384,97.0%,396,383,96.7%,383,96.7%
Avonworth ,Avonworth Middle School,256 Josephs Lane,Pittsburgh,15237,Public,428,416,97.2%,416,97.2%,420,98.1%,414,96.7%,420,98.1%,428,413,96.5%,415,97.0%
Avonworth ,Avonworth Primary Center,1310 Roosevelt Road,Pittsburgh,15237,Public,466,459,98.5%,458,98.3%,458,98.3%,460,98.7%,456,97.9%,0,0,,0,
Baldwin-Whitehall ,ACLD Tillotson,4900 Girard Road,Pittsburgh,15236,Private/Independent,70,65,92.9%,63,90.0%,66,94.3%,67,95.7%,65,92.9%,60,53,88.3%,52,86.7%
Baldwin-Whitehall ,Baldwin-Whitehall Middle/High School,4653 Clairton Blvd.,Pittsburgh,15236,Public,2046,2028,99.1%,2026,99.0%,2019,98.7%,2025,99.0%,2024,98.9%,2046,2005,98.0%,1988,97.2%
Baldwin-Whitehall ,Harrison Education Center,129 Windvale Drive,Pittsburgh,15236,Public,1139,1128,99.0%,1122,98.5%,1126,98.9%,1132,99.4%,1127,98.9%,0,0,,0,
Baldwin-Whitehall ,McAnnulty Elementary,5151 McAnnulty Road,Pittsburgh,15236,Public,434,429,98.8%,429,98.8%,429,98.8%,432,99.5%,429,98.8%,0,0,,0,
Baldwin-Whitehall ,Mother of Mercy Academy,5200 Greenridge Drive,Pittsburgh,15236,Parochial/Religious,351,340,96.9%,341,97.2%,340,96.9%,343,97.7%,339,96.6%,55,54,98.2%,54,98.2%
Baldwin-Whitehall ,Whitehall Elementary,4900 Curry Road,Pittsburgh,15236,Public,852,843,98.9%,843,98.9%,845,99.2%,844,99.1%,842,98.8%,0,0,,0,
Bellevue Elementary,Northgate ,435 Lincoln Ave,Pittsburgh,15219,Public,311,311,100.0%,311,100.0%,309,99.4%,311,100.0%,311,100.0%,0,0,,0,
Bethel Park ,Abraham Lincoln Elementary,"1524 Hamilton Rd
",Pittsburgh,15234,Public,318,313,98.4%,313,98.4%,313,98.4%,313,98.4%,313,98.4%,0,0,,0,
Bethel Park ,Ave Maria Academy,134 Fort Couch Road,Pittsburgh,15241,Parochial/Religious,287,284,99.0%,284,99.0%,284,99.0%,284,99.0%,284,99.0%,72,70,97.2%,70,97.2%
Bethel Park ,Ben Franklin Elementary,"5400 Florida ave
",Bethel Park,15102,Public,329,326,99.1%,325,98.8%,326,99.1%,324,98.5%,325,98.8%,0,0,,0,
Bethel Park ,Bethel Park High School,309 Church Road,Bethel Park ,15102,Public,1313,1294,98.6%,1282,97.6%,1295,98.6%,1295,98.6%,1291,98.3%,1313,1287,98.0%,1279,97.4%
Bethel Park ,Hillcrest Christian Academy,2500 Bethel Church Road,Bethel Park,15102,Parochial/Religious,198,178,89.9%,178,89.9%,178,89.9%,178,89.9%,178,89.9%,78,67,85.9%,67,85.9%
Bethel Park ,Independence Middle School,2807 Bethel Church Rd,Bethel Park,15102,Public,608,601,98.8%,598,98.4%,600,98.7%,600,98.7%,596,98.0%,608,596,98.0%,593,97.5%
Bethel Park ,Memorial Elementary,3301 south park road,bethel Park,15102,Public,319,314,98.4%,314,98.4%,314,98.4%,312,97.8%,314,98.4%,0,0,,0,
Bethel Park ,Neil Armstrong Middle School,"5800 Murray Avenue 
",Bethel Park,15102,Public,541,534,98.7%,534,98.7%,531,98.2%,531,98.2%,531,98.2%,0,0,,0,
Bethel Park ,Washington Elementary,"515 Clifton road
",bethel Park,15102,Public,261,255,97.7%,255,97.7%,255,97.7%,258,98.9%,255,97.7%,0,0,,0,
Bethel Park ,William Penn Elementary,110 Woodlet Lane,Bethel Park,15102,Public,185,181,97.8%,181,97.8%,181,97.8%,181,97.8%,180,97.3%,0,0,,0,
Bishop Canevin ,Bishop Canevin High School, 2700 Morange Rd,Pittsburgh,15205,Parochial/Religious,216,216,100.0%,216,100.0%,216,100.0%,216,100.0%,216,100.0%,216,216,100.0%,211,97.7%
Blessed Trinity Academy,Blessed Trinity Academy,"2510 Middle Rd
",Glenshaw,15116,Parochial/Religious,177,173,97.7%,171,96.6%,173,97.7%,171,96.6%,172,97.2%,48,47,97.9%,47,97.9%
Brentwood Borough ,Brentwood MSHS,3601 Brownsville Rd,Pittsburgh,15227,Public,618,608,98.4%,604,97.7%,609,98.5%,608,98.4%,609,98.5%,534,522,97.8%,516,96.6%
Brentwood Borough ,Elroy Elementary,3129 Elroy Ave,Pittsburgh,15227,Public,301,292,97.0%,293,97.3%,292,97.0%,293,97.3%,291,96.7%,0,0,,0,
Brentwood Borough ,Moore Elementary,3809 Dalewood St,Pittsburgh,15227,Public,205,197,96.1%,197,96.1%,196,95.6%,197,96.1%,195,95.1%,0,0,,0,
Carlynton ,Carlynton Junior Senior High School,435 kings highway,carnegie,15106,Public,603,597,99.0%,597,99.0%,597,99.0%,596,98.8%,595,98.7%,603,590,97.8%,581,96.4%
Carlynton ,Carnegie Elementary,301 Franklin Ave,Carnegie,15106,Public,378,368,97.4%,364,96.3%,361,95.5%,362,95.8%,368,97.4%,0,0,,0,
Carlynton ,Crafton Elementary,1874 crafton blvd  ,Crafton,15205,Public,310,308,99.4%,307,99.0%,305,98.4%,306,98.7%,305,98.4%,0,0,,0,
Charter School,Manchester Academic Charter School,1214 Liverpool Street,Pittsburgh,15233,Charter,378,374,98.9%,375,99.2%,375,99.2%,377,99.7%,374,98.9%,82,78,95.1%,78,95.1%
Chartiers Valley ,Chartiers Valley High School,50 Thoms Run Road,Bridgeville,15017,Public,982,966,98.4%,961,97.9%,970,98.8%,974,99.2%,962,98.0%,982,968,98.6%,942,95.9%
Chartiers Valley ,Chartiers Valley Intermediate School,2030 Swallow Hill Road,Pittsburgh,15220,Public,790,783,99.1%,781,98.9%,780,98.7%,780,98.7%,778,98.5%,0,0,,0,
Chartiers Valley ,Chartiers Valley Middle School,50 Thoms Run Road,Pittsburgh,15017,Public,714,696,97.5%,696,97.5%,697,97.6%,696,97.5%,694,97.2%,459,453,98.7%,453,98.7%
Chartiers Valley ,Chartiers Valley Primary School,125 Thoms Run Road ,Bridgeville,15017,Public,868,848,97.7%,848,97.7%,850,97.9%,854,98.4%,849,97.8%,0,0,,0,
City Charter High School,City Charter High School,"201 Stanwix Street, Suite 100",Pittsburgh,15222,Charter,565,554,98.1%,553,97.9%,553,97.9%,551,97.5%,550,97.3%,565,549,97.2%,547,96.8%
City of Bridges High School,City of Bridges High School,733 North Highland Ave,Pittsburgh,15206,Parochial/Religious,40,38,95.0%,39,97.5%,39,97.5%,39,97.5%,38,95.0%,40,5,12.5%,5,12.5%
CMU Cyert for Early Education,CMU Cyert for Early Education,1060 Morewood Ave,Pittsburgh ,15213,Private/Independent,7,7,100.0%,7,100.0%,7,100.0%,7,100.0%,7,100.0%,0,0,,0,
Community Day School,Community Day School,6424 Forward Ave,Pittsburgh,15217,Private/Independent,256,256,100.0%,256,100.0%,256,100.0%,256,100.0%,256,100.0%,41,41,100.0%,41,100.0%
Cornell ,Cornell School District,1099 Maple Street,Coraopolis,15108,Public,513,508,99.0%,508,99.0%,507,98.8%,507,98.8%,506,98.6%,251,250,99.6%,250,99.6%
Deer Lakes ,Curtisville Primary,1715 Saxonburg Blvd,Tarentum,15084,Public,343,330,96.2%,329,95.9%,330,96.2%,331,96.5%,329,95.9%,0,0,,0,
Deer Lakes ,Deer Lakes High School,163 East Union Road,Cheswick,15024,Public,588,583,99.1%,581,98.8%,578,98.3%,581,98.8%,578,98.3%,588,574,97.6%,566,96.3%
Deer Lakes ,Deer Lakes Middle School,17 East Union Road,Cheswick,15024,Public,467,462,98.9%,462,98.9%,461,98.7%,461,98.7%,461,98.7%,313,300,95.8%,300,95.8%
Deer Lakes ,East Union Intermediate Center,"57 East Union Road
 
",Cheswick,15024,Public,397,375,94.5%,375,94.5%,375,94.5%,375,94.5%,375,94.5%,0,0,,0,
Depaul School,DePaul School for Hearing and Speech,6202 Alder Street,Pittsburgh,15206,Private/Independent,29,29,100.0%,29,100.0%,28,96.6%,29,100.0%,28,96.6%,5,5,100.0%,5,100.0%
Divine Mercy Academy,Divine Mercy Academy,245 Azalea Drive,Monroeville,15146,Parochial/Religious,197,193,98.0%,193,98.0%,193,98.0%,192,97.5%,193,98.0%,64,60,93.8%,60,93.8%
Duquesne ,Duquesne City School,300 Kennedy Avenue,Duquesne,15110,Public,401,384,95.8%,382,95.3%,382,95.3%,385,96.0%,384,95.8%,45,38,84.4%,38,84.4%
East Allegheny ,East Allegheny Junior/Senior High School,1150 Jacks Run rd,North Versailles,15137,Public,713,705,98.9%,703,98.6%,703,98.6%,707,99.2%,703,98.6%,713,694,97.3%,685,96.1%
East Allegheny ,Logan Elementary,1154 Jacks Run Rd,North Versailles,15137,Public,756,737,97.5%,737,97.5%,738,97.6%,742,98.1%,738,97.6%,0,0,,0,
Easterseals,Easter Seal Western and  Central Pennsylvania North Site,8057 Rowan Road,Cranberry Twsp.,16066,Private/Independent,8,7,87.5%,7,87.5%,7,87.5%,7,87.5%,7,87.5%,0,0,,0,
Easterseals,Easter Seal Western and Central Pennsylvania South Site,2000 clairton rd.,West mifflin,15122,Private/Independent,6,6,100.0%,6,100.0%,6,100.0%,6,100.0%,6,100.0%,0,0,,0,
Eden Christian Academy,Eden Christian Academy - Berkeley Hills Campus,206 Siebert Road,Pittsburgh,15237,Parochial/Religious,124,111,89.5%,110,88.7%,109,87.9%,109,87.9%,104,83.9%,0,0,,0,
Eden Christian Academy,Eden Christian Academy - Mount Nebo Campus,318 Nicholson Road,Sewickley,15143,Parochial/Religious,315,296,94.0%,302,95.9%,301,95.6%,297,94.3%,298,94.6%,315,295,93.7%,285,90.5%
Education Center at Watson Institute,Education Center at Watson Institute,301 Camp Meeting Rd,Sewickley,15143,Private/Independent,208,202,97.1%,189,90.9%,189,90.9%,205,98.6%,192,92.3%,127,112,88.2%,105,82.7%
Education Center at Watson Institute South,Education Center at Watson Institute South,230 Hickory Grade Rd,Bridgeville,15017,Private/Independent,176,168,95.5%,155,88.1%,155,88.1%,168,95.5%,157,89.2%,94,79,84.0%,75,79.8%
Elizabeth Forward ,Central Elementary,401 Rock Run Road,Elizabeth,15037,Public,280,276,98.6%,275,98.2%,274,97.9%,279,99.6%,274,97.9%,0,0,,0,
Elizabeth Forward ,Elizabeth Forward High School,1000 Weigle's Hill Road,Elizabeth,15037,Public,751,741,98.7%,742,98.8%,742,98.8%,744,99.1%,554,73.8%,751,740,98.5%,742,98.8%
Elizabeth Forward ,Elizabeth Forward Middle School,401 Rock Run Rd,Elizabeth,15037,Public,570,563,98.8%,569,99.8%,569,99.8%,569,99.8%,566,99.3%,371,364,98.1%,369,99.5%
Elizabeth Forward ,Greenock Primary,"1101 Greenock-Buena Vista Road
",McKeesport,15135,Public,204,199,97.5%,200,98.0%,199,97.5%,200,98.0%,199,97.5%,0,0,,0,
Elizabeth Forward ,Mount Vernon Elementary,2400 Greenock Buena Vista Road,McKeesport,15135,Public,201,198,98.5%,198,98.5%,198,98.5%,198,98.5%,198,98.5%,0,0,,0,
Elizabeth Forward ,William Penn Elementary,392 Willim Penn Road,Monongahela,15063,Public,333,328,98.5%,328,98.5%,328,98.5%,328,98.5%,327,98.2%,0,0,,0,
Environmental Charter School,Environmental Charter School,5525 Columbo St,Pittsburgh,15206,Charter,1015,1002,98.7%,1002,98.7%,999,98.4%,1000,98.5%,998,98.3%,318,313,98.4%,313,98.4%
Falk Laboratory School,Falk Laboratory School,4060 Allequippa Street,Pittsburgh,15261,Private/Independent,437,432,98.9%,425,97.3%,431,98.6%,431,98.6%,432,98.9%,88,86,97.7%,85,96.6%
Fox Chapel Area ,CDTCA,205 Brilliant Avenue,Pittsburgh,15215,Parochial/Religious,185,180,97.3%,179,96.8%,182,98.4%,179,96.8%,182,98.4%,40,39,97.5%,38,95.0%
Fox Chapel Area ,Dorseyville Middle School,3732 Saxonburg Blvd,Pittsburgh,15238,Public,960,941,98.0%,936,97.5%,946,98.5%,936,97.5%,939,97.8%,628,616,98.1%,612,97.5%
Fox Chapel Area ,Fairview Elementary,738 Dorseyville Road,Pittsburgh,15238,Public,374,371,99.2%,367,98.1%,368,98.4%,367,98.1%,368,98.4%,0,0,,0,
Fox Chapel Area ,Fox Chapel Area High School,611 Field Club Road,Pittsburgh,15238,Public,1307,1287,98.5%,1278,97.8%,1272,97.3%,1278,97.8%,1278,97.8%,1307,1285,98.3%,1279,97.9%
Fox Chapel Area ,Hartwood Elementary,3730 Saxonburg Blvd,Pittsburgh,15238,Public,396,388,98.0%,388,98.0%,388,98.0%,386,97.5%,388,98.0%,0,0,,0,
Fox Chapel Area ,Kerr Elementary, 341 Kittanning Pike,Pittsburgh,15215,Public,413,402,97.3%,402,97.3%,403,97.6%,399,96.6%,403,97.6%,0,0,,0,
Fox Chapel Area ,O'Hara Elementary,115 Cabin Lane,Pittsburgh,15238,Public,694,684,98.6%,685,98.7%,686,98.8%,683,98.4%,686,98.8%,0,0,,0,
Fox Chapel Area ,Shady Side Academy,100 Benedum Lane,Pittsburgh,15238,Private/Independent,204,204,100.0%,204,100.0%,204,100.0%,204,100.0%,203,99.5%,139,136,97.8%,136,97.8%
Fox Chapel Area ,Shady Side Academy senior school,423 Fox Chapel Road,Pittsburgh,15238,Private/Independent,478,474,99.2%,473,99.0%,475,99.4%,473,99.0%,470,98.3%,478,474,99.2%,473,99.0%
Gateway ,Dr. Cleveland Steward Junior Elementary,"5000 Gateway Campus BLVD
",Monroeville,15146,Public,307,292,95.1%,293,95.4%,293,95.4%,291,94.8%,293,95.4%,0,0,,0,
Gateway ,Evergreen Elementary,"3831 Evergreen Drive
",Monroeville ,15146,Public,262,257,98.1%,258,98.5%,255,97.3%,257,98.1%,255,97.3%,0,0,,0,
Gateway ,Gateway High School,3000 Gateway campus Blvd,Monroeville,15146,Public,1120,1082,96.6%,1082,96.6%,1082,96.6%,1082,96.6%,1082,96.6%,1120,1082,96.6%,1082,96.6%
